Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,70.769997,70.910004,69.860001,70.739998,3636200,70.285369
2016-01-05,69.43,70.550003,68.699997,69.459999,5216200,69.013597
2016-01-06,68.550003,69.690002,67.980003,68.550003,4223300,68.109449
2016-01-07,66.339996,67.0,64.849998,65.080002,5638300,64.661749
2016-01-08,65.75,65.889999,64.07,64.230003,4731700,63.817213
2016-01-11,64.82,65.540001,64.0,64.760002,3416800,64.343806
2016-01-12,65.559998,65.970001,64.68,65.800003,3680300,65.377123
2016-01-13,66.279999,66.660004,63.41,63.639999,5406000,63.231001
2016-01-14,64.010002,65.110001,62.509998,64.599998,4573000,64.18483
2016-01-15,62.0,63.459999,61.84,62.849998,4827300,62.446077
2016-01-19,63.689999,63.700001,61.509998,62.189999,3464500,61.790319
2016-01-20,60.799999,61.369999,58.919998,60.759998,5328000,60.369509
2016-01-21,60.849998,62.299999,60.509998,61.18,3747300,60.786812
2016-01-22,62.150002,62.599998,60.52,61.099998,4148100,60.707324
2016-01-25,60.689999,61.009998,58.490002,58.66,5711500,58.283007
2016-01-26,59.099998,60.5,59.099998,60.380001,5619900,59.991954
2016-01-27,61.299999,64.589996,61.259998,63.299999,8544900,62.893186
2016-01-28,63.790001,63.790001,62.119999,62.990002,6491500,62.585181
2016-01-29,63.490002,65.699997,63.279999,65.620003,6380200,65.198279
2016-02-01,65.0,65.449997,63.790001,65.010002,4319500,64.592199
2016-02-02,63.830002,63.860001,62.82,63.209999,5195700,62.803764
2016-02-03,63.66,64.010002,59.860001,63.150002,6036600,62.744152
2016-02-04,63.0,64.360001,62.84,63.73,4308500,63.320423
2016-02-05,63.919998,64.629997,62.639999,63.360001,3507800,62.952802
2016-02-08,62.330002,62.450001,60.099998,60.889999,3878300,60.498674
2016-02-09,60.040001,62.93,59.75,62.419998,4424000,62.01884
2016-02-10,62.919998,64.120003,62.18,62.240002,3186400,61.840001
2016-02-11,59.709999,60.880001,58.740002,60.150002,4823200,60.150002
2016-02-12,61.209999,62.84,60.619999,62.540001,5528000,62.540001
2016-02-16,63.709999,65.129997,63.080002,64.209999,4285400,64.209999
2016-02-17,64.959999,66.050003,64.870003,65.18,3788500,65.18
2016-02-18,65.480003,66.68,65.18,65.93,4272100,65.93
2016-02-19,65.5,65.879997,64.760002,65.730003,2426700,65.730003
2016-02-22,66.440002,67.790001,66.400002,67.760002,2994400,67.760002
2016-02-23,67.610001,67.610001,65.32,65.720001,3475900,65.720001
2016-02-24,64.769997,65.639999,63.450001,65.410004,2894800,65.410004
2016-02-25,65.760002,66.419998,64.870003,66.419998,2624500,66.419998
2016-02-26,66.730003,68.190002,66.639999,67.199997,3105800,67.199997
2016-02-29,66.93,67.18,65.699997,65.730003,3344100,65.730003
2016-03-01,66.669998,68.0,66.150002,67.989998,4127300,67.989998
2016-03-02,68.019997,69.139999,67.739998,69.139999,2396300,69.139999
2016-03-03,68.970001,69.660004,68.690002,69.660004,2442200,69.660004
2016-03-04,69.809998,70.389999,68.959999,69.589996,2934900,69.589996
2016-03-07,68.940002,69.620003,68.779999,69.519997,1995000,69.519997
2016-03-08,68.849998,69.169998,68.010002,68.489998,2705700,68.489998
2016-03-09,69.040001,69.300003,68.25,68.699997,2508100,68.699997
2016-03-10,69.18,70.0,68.120003,69.230003,2155600,69.230003
2016-03-11,70.190002,71.120003,70.010002,71.029999,2353500,71.029999
2016-03-14,70.779999,71.010002,69.730003,69.93,2548300,69.93
2016-03-15,69.290001,69.32,68.309998,69.32,3394500,69.32
2016-03-16,69.209999,70.080002,68.849998,69.379997,3251700,69.379997
2016-03-17,69.050003,70.059998,68.589996,69.5,4057200,69.5
2016-03-18,69.82,71.120003,69.529999,70.57,5042300,70.57
2016-03-21,70.309998,71.389999,70.080002,70.809998,2379200,70.809998
2016-03-22,70.279999,70.779999,69.949997,70.459999,1899000,70.459999
2016-03-23,70.519997,70.769997,70.0,70.209999,2594900,70.209999
2016-03-24,69.440002,69.779999,68.879997,69.760002,2090100,69.760002
2016-03-28,69.809998,69.970001,68.959999,69.199997,1884400,69.199997
2016-03-29,68.830002,68.959999,67.580002,68.849998,4405600,68.849998
2016-03-30,69.300003,70.0,69.040001,69.150002,2050000,69.150002
2016-03-31,69.150002,69.790001,68.980003,69.309998,3210000,69.309998
2016-04-01,69.730003,70.970001,69.260002,70.800003,2892800,70.800003
2016-04-04,70.589996,70.889999,69.720001,69.830002,1617400,69.830002
2016-04-05,68.099998,68.949997,67.790001,68.529999,3449900,68.529999
2016-04-06,68.010002,68.419998,67.199997,68.269997,3079800,68.269997
2016-04-07,67.660004,67.980003,66.099998,66.580002,2835900,66.580002
2016-04-08,67.029999,67.720001,66.410004,66.669998,2259300,66.669998
2016-04-11,66.830002,67.699997,66.730003,67.199997,3623800,67.199997
2016-04-12,67.550003,68.459999,67.410004,68.309998,2594100,68.309998
2016-04-13,69.0,70.870003,68.980003,70.839996,3364600,70.839996
2016-04-14,70.660004,72.18,70.480003,71.470001,2866100,71.470001
2016-04-15,71.720001,72.239998,71.050003,71.339996,2859000,71.339996
2016-04-18,70.889999,71.900002,70.550003,71.660004,1764400,71.660004
2016-04-19,71.959999,72.889999,71.459999,72.800003,2345600,72.800003
2016-04-20,73.349998,75.550003,73.309998,75.43,4918200,75.43
2016-04-21,75.25,76.300003,74.690002,74.730003,2955800,74.730003
2016-04-22,74.5,75.730003,74.480003,75.559998,1777700,75.559998
2016-04-25,75.080002,75.470001,74.480003,74.989998,2468500,74.989998
2016-04-26,75.029999,76.0,74.629997,75.959999,2683200,75.959999
2016-04-27,73.129997,74.5,72.82,74.309998,6337600,74.309998
2016-04-28,73.559998,74.260002,72.989998,73.370003,2618400,73.370003
2016-04-29,72.989998,73.290001,71.870003,72.389999,2951700,72.389999
